Country (or dependency),Country (or dependency),Population (2020),Population (2019),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Net population change,Population change [%],Density (2020)
French Guiana,French Guiana,299958,307808,82200,1200.0,,25.0,-7850,-2.617033051293848,Low
Mauritania,Mauritania,4669775,4793737,1030700,5000.0,,20.0,-123962,-2.6545604445610333,Low
Guinea,Guinea,13191279,13552828,245720,-4000.0,,18.0,-361549,-2.74081838463124,Low
Somalia,Somalia,15965848,16416165,627340,-40000.0,,17.0,-450317,-2.8205016106880136,Low
Mozambique,Mozambique,31398811,32288210,786380,-5000.0,,18.0,-889399,-2.832588151188273,Low
Tanzania,Tanzania,60012400,61741155,885800,-40076.0,,18.0,-1728755,-2.880662996314095,Low
Mali,Mali,20346106,20938908,1220190,-40000.0,,16.0,-592802,-2.913589460312455,Low
Burundi,Burundi,11948454,12308658,25680,2001.0,,17.0,-360204,-3.014649426612012,Low
Angola,Angola,33032075,34073052,1246700,6413.0,,17.0,-1040977,-3.151412679948202,Low
Equatorial Guinea,Equatorial Guinea,1410419,1457418,28050,16000.0,,22.0,-46999,-3.332272182947053,Low
Niger,Niger,24346468,25242397,1266700,4000.0,,15.0,-895929,-3.6799136531836982,Low
